Spain,82,86,83
Brazil,82,86,83
England,84,84,80
Portugal,85,83,83
France,87,82,85
Argentina,84,85,80
Germany,79,82,84
Italy,83,83,83
Netherlands,82,85,83
Belgium,82,84,79
Uruguay,81,80,80
Croatia,78,79,78
Colombia,80,80,77
Denmark,77,78,77
Ivory Coast,79,80,76
Serbia,80,80,75
Austria,79,75,79
Switzerland,77,78,78
Ghana,80,76,74
Mexico,78,76,74
Morocco,81,77,80
Norway,82,78,75
Senegal,79,76,77
Algeria,77,78,76
Turkey,77,78,76
Poland,83,75,76
Sweden,87,78,77
Chile,76,77,76
Nigeria,80,75,74
Czechia,77,76,74
Ecuador,75,77,76
Greece,75,75,77
Scotland,77,78,75
Ukraine,77,75,76
USA,75,79,77
Democratic Republic of the Congo,77,74,74
DRC,77,74,74
DR Congo,77,74,74
Japan,74,77,74
South Korea,78,74,73
Venezuela,78,75,72
Bosnia and Herzegovina,77,75,72
Cameroon,74,76,74
Mali,75,76,73
Russia,76,75,73
Slovakia,73,75,76
Egypt,73,77,73
Paraguay,74,75,74
Guinea,74,75,73
Wales,72,73,75
Iran,76,73,72
South Africa,79,72,70
Albania,73,73,74
Costa Rica,75,72,73
Cuba,75,72,73
Hungary,75,74,74
Slovenia,72,74,73
Burkina Faso,73,72,73
Canada,76,72,70
Kosovo,75,71,72
Angola,73,70,74
Gabon,77,72,68
Australia,75,71,70
Ireland,73,73,75
Montenegro,71,70,75
Peru,72,73,71
Romania,73,74,72
Cape Verde,75,71,68
Israel,74,70,70
Jamaica,74,71,69
Honduras,73,70,70
Tunisia,71,72,70
UAE,74,70,69
Guinea-Bissau,72,71,69
Comoros,66,74,71
Georgia,72,70,69
Iceland,73,71,69
Qatar,72,71,68
Benin,71,70,69
Panama,71,69,70
Saudi Arabia,68,71,71
Uzbekistan,72,69,69
Finland,72,73,67
North Macedonia,68,71,70
Northern Ireland,66,71,70
Zimbabwe,71,67,71
Republic of the Congo,73,69,66
Mozambique,66,70,71
Suriname,72,65,70
Armenia,70,70,66
China,69,68,69
New Zealand,70,70,68
Philippines,74,68,64
Belarus,69,68,68
Bulgaria,67,69,69
Togo,70,67,68
Kenya,71,66,67
Sierra Leone,70,65,69
Zambia,72,69,63
Haiti,68,66,69
Cyprus,68,67,67
Equatorial Guinea,67,68,67
Ethiopia,69,65,67
Curacao,67,69,64
Dominican Republic,69,63,68
Madagascar,64,68,68
Uganda,68,66,66
Central African Republic,64,69,66
Kazakhstan,65,68,66
Liberia,66,67,66
Luxembourg,63,70,66
Bahrain,66,68,64
Oman,71,64,63
Azerbaijan,65,66,66
Bolivia,66,66,65
Iraq,65,68,64
North Korea,67,61,69
Trinidad and Tobago,66,65,66
Mauritania,65,66,64
Malawi,71,64,59
Moldova,63,65,66
Burundi,64,65,64
Estonia,63,65,65
Lebanon,64,65,64
Libya,62,69,62
Jordan,63,63,66
Niger,64,69,59
Palestine,64,64,64
Thailand,64,65,63
Guatemala,65,64,62
Guyana,63,65,63
Lithuania,65,63,63
Syria,65,63,62
Tanzania,65,63,62
Grenada,62,66,61
Kuwait,64,63,61
Latvia,66,58,64
Hong Kong,66,58,63
Sudan,64,61,62
India,65,60,61
Martinique,63,62,61
Vietnam,61,63,62
Antigua and Barbuda,62,61,61
Turkmenistan,62,61,61
Botswana,63,62,58
El Salvador,62,61,60
Tahiti,63,59,61
Afghanistan,61,60,61
Rwanda,59,63,60
St Kitts and Nevis,61,61,60
Reunion,59,62,61
Chad,64,60,57
Lesotho,60,60,60
Malta,58,63,59
Namibia,66,55,59
Faroe Islands,62,59,58
Montserrat,60,61,58
Tajikistan,61,59,58
Malaysia,57,59,61
Kyrgyzstan,58,60,58
Puerto Rico,62,53,61
Taiwan,58,62,56
Indonesia,60,57,58
Liechtenstein,55,61,59
Singapore,58,57,59
French Guiana,59,56,59
Sao Tome and Principe,60,55,58
Gibraltar,56,58,58
Bermuda,61,55,55
Nicaragua,60,55,56
Barbados,58,53,59
Mauritius,55,58,57
St Vincent and the Grenadines,57,57,56
Aruba,53,57,58
New Caledonia,55,55,58
South Sudan,57,56,55
Yemen,56,57,55
Andorra,55,55,57
Guam,54,58,55
Papua New Guinea,55,57,55
Fiji,60,52,54
St Lucia,56,52,58
Belize,53,60,52
Eritrea,57,57,51
Pakistan,54,55,56
Eswatini,53,55,56
Laos,56,55,53
Somalia,53,58,53
Solomon Islands,55,54,54
Bangladesh,55,54,52
Nepal,55,53,53
Dominica,54,52,54
Guadeloupe,56,51,53
Bahamas,57,50,52
Saint Martin,54,52,53
Maldives,57,55,46
Seychelles,52,54,52
Sri Lanka,53,51,54
Bhutan,55,52,49
Myanmar,55,53,48
Brunei,53,51,51
Bonaire,55,49,51
Isle of Man,52,52,51
Vanuatu,50,52,52
Jersey,51,51,51
Cayman Islands,51,52,49
Monaco,48,49,55
Mayotte,52,50,50
Cambodia,53,49,48
Djibouti,52,50,48
Mongolia,53,50,47
US Virgin Islands,52,50,48
Sint Maarten,53,48,49
San Marino,51,49,49
Samoa,51,49,48
Cook Islands,50,47,45
Western Sahara,49,44,49
Tonga,46,48,47
Timor-Leste,53,44,43
Macau,41,51,46
Turks and Caicos Islands,49,43,43
Guernsey,46,45,44
Anguilla,47,44,43
Greenland,44,44,44
British VI,45,42,43
Tuvalu,43,42,40
American Samoa,39,42,41
Northern Mariana Islands,41,37,40
St Pierre and Miquelon,36,38,36
Saint Barthelemy,36,36,36
Kiribati,31,35,32
Svalbard,36,30,32
Palau,31,33,30
Andaman and Nicobar,32,29,32
Vatican City,31,30,29
Wallis and Futuna,31,27,30
Micronesia,29,28,27
Christmas Island,26,25,24
Saint Helena,30,25,20
Cocos (Keeling) Islands,28,20,27
Ascension,24,19,14
Pitcairn Islands,15,11,13
Niue,15,13,10
Tokelau,13,12,10
Marshall Islands,14,10,11
Norfolk Island,15,11,9
Tristan da Cunha,10,15,10
Falkland Islands,9,9,15
Nauru,10,6,15
SGSSI,6,5,11
(TAAF),1,1,1
Heard Island (HIMI),1,1,1
Antarctica,1,1,1
Midway Atoll,1,1,1
Bouvet Island,1,1,1
North Sentinel Island,1,1,1
Disappointment Island,1,1,1
Inaccessible Island,1,1,1
Liverpool,85,86,83
Arsenal,86,84,84
Manchester City,85,85,82
Man City,85,85,82
Newcastle,81,84,80
Tottenham,79,81,81
Spurs,79,81,81
Aston Villa,83,81,80
Chelsea,80,82,80
Manchester United,82,80,79
Man United,82,80,79
Crystal Palace,78,77,80
Nottingham,79,79,79
Forest,79,79,79
Brighton,78,78,78
Bournemouth,79,78,77
Everton,76,78,77
West Ham,78,77,77
Brentford,77,77,77
Fulham,76,77,78
Leeds,75,76,76
Sunderland,75,76,77
Wolves,76,76,75
Burnley,73,75,75
Real Madrid,88,86,83
Barcelona,85,87,82
Inter,86,84,83
PSG,85,86,85
Juventus,81,80,80
Benfica,79,78,77
Bayern,89,85,82
Marseille,81,79,79
Dortmund,83,80,82
AC Milan,82,79,78
Sporting,79,80,77
Napoli,79,82,80
Leverkusen,82,79,77
Atletico,84,81,82
Atletico Madrid,85,81,82
Frankfurt,77,78,80
Eintracht Frankfurt,77,78,80
Atalanta,79,79,79
Club Brugge,73,76,73
PSV,76,80,76
Villarreal,80,79,77
Bodo/Glimt,70,73,70
Olympiacos,79,76,75
Ajax,76,75,74
Monaco,77,75,77
Copenhagen,73,72,71
Galatasaray,84,80,79
Union SG,74,73,75
Slavia Praha,74,75,73
Qarabag,67,69,67
Qarabag FK,67,69,67
Athletic Club,79,81,78
Athletic,79,81,78
Pafos,70,69,68
Kairat,65,68,65
Kairat Almaty,65,68,65
Paris Saint-EPO,94,93,94